ENERGY/MEV , Li(11BH4-xDx x~64%) T.lt.3 BACK , ERR/B , Li(11BH4-xDx x~64%) T.lt.3 FORWARD , ERR/F , Li(11BH4-xDx x~64%) T.lt.3  , ERR/T
4.89097 , 0.0838083 , 0.0200308 , 0.0192628 , 0.00971213 , 0.0517938 , 0.0111859
4.91543 , 0.0761046 , 0.0189699 , 0.0240795 , 0.0108394 , 0.0503002 , 0.0109688
4.94001 , 0.0733981 , 0.0185554 , 0.0257718 , 0.0111880 , 0.0497755 , 0.0108744
4.96471 , 0.0733981 , 0.0185092 , 0.0257718 , 0.0111601 , 0.0497755 , 0.0108473
4.98953 , 0.0733981 , 0.0184631 , 0.0257718 , 0.0111323 , 0.0497755 , 0.0108203
5.01448 , 0.0697404 , 0.0179162 , 0.0156510 , 0.00854605 , 0.0429121 , 0.00997521
5.03955 , 0.0686451 , 0.0177193 , 0.0126204 , 0.00759548 , 0.0408569 , 0.00969263
5.06475 , 0.0686451 , 0.0176751 , 0.0126204 , 0.00757656 , 0.0408569 , 0.00966849
5.09007 , 0.0686451 , 0.0176311 , 0.0126204 , 0.00755769 , 0.0408569 , 0.00964441
5.11552 , 0.0673473 , 0.0174511 , 0.0158244 , 0.00850950 , 0.0417919 , 0.00975563
5.14110 , 0.0670210 , 0.0173733 , 0.0166299 , 0.00871481 , 0.0420270 , 0.00976495
5.16680 , 0.0670210 , 0.0173300 , 0.0166299 , 0.00869311 , 0.0420270 , 0.00974063
5.19264 , 0.0670210 , 0.0172868 , 0.0166299 , 0.00867145 , 0.0420270 , 0.00971637
5.21860 , 0.0737351 , 0.0179325 , 0.0146067 , 0.00804870 , 0.0444074 , 0.00988042
5.24469 , 0.0751236 , 0.0180267 , 0.0141882 , 0.00789897 , 0.0448997 , 0.00989420
5.27092 , 0.0751236 , 0.0179818 , 0.0141882 , 0.00787930 , 0.0448997 , 0.00986956
5.29727 , 0.0751236 , 0.0179370 , 0.0141882 , 0.00785967 , 0.0448997 , 0.00984497
5.32376 , 0.0850444 , 0.0189067 , 0.0130522 , 0.00737396 , 0.0493363 , 0.0102068
